mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type,op_note
86720,64075,,34531,1,1,8538,1,1,,,,   ,
86721,64075,,34531,1,1,8539,1,1,,,,   ,
86722,64075,,34531,1,1,8541,1,1,,,,   ,
86723,64075,,35154,1,1,8538,1,1,,,,   ,
86724,64075,,35154,1,1,8539,1,1,,,,   ,
86725,64075,,35154,1,1,8540,1,1,,,,   ,
86726,64080,,8556,1,1,8543,1,2,,,,   ,
86727,64080,,8556,1,1,8544,1,2,,,,   ,
86728,64080,,24562,2,2,8542,1,1,,,,   ,
86729,64080,,24562,1,2,8544,1,2,,,,   ,
86730,64080,,35202,1,1,8542,1,1,,,,   ,
86731,64080,,35202,1,2,8543,1,2,,,,   ,
86746,64076,,8538,1,1,8554,1,1,,,,   ,
86747,64076,,39226,1,1,8553,1,1,,,,   ,
86748,64077,,8539,1,1,8556,1,1,,,,   ,
86749,64077,,8542,1,1,8555,1,1,,,,   ,
86896,64143,,22576,1,2,8631,1,2,,,,Signal,
86897,64143,,22576,1,2,8632,1,1,,,,Signal,
86898,64143,,34399,1,2,8630,1,2,,,,Signal,
86899,64143,,34399,1,2,8632,1,1,,,,Signal,
86900,64143,,39360,1,1,8630,1,2,,,,Signal,
86901,64143,,39360,1,1,8631,1,2,,,,Signal,
86905,64147,,40395,1,1,8635,1,1,,,,   ,
86907,64147,,41498,1,1,8634,1,1,,,,   ,
88278,64412,,58130,1,1,9310,1,2,,,,   ,
88279,64412,,58130,1,4,9311,1,2,,,,   ,
88280,64413,,9310,1,2,9312,1,2,,,,   ,
88281,64415,,9312,1,2,9313,1,2,,,,   ,
88284,64416,,9313,1,2,9316,1,2,,,,   ,
88289,64417,,9316,1,2,9321,1,2,,,,   ,
88290,64419,,9321,1,2,9322,1,2,,,,   ,
88361,64454,,9358,1,1,9356,1,1,,,,Signal,
88362,64454,,9358,1,1,9357,1,2,,,,Signal,
88363,64454,,40162,2,2,9355,1,1,,,,Signal,
88364,64454,,40162,1,2,9357,1,2,,,,Signal,
88365,64454,,43890,1,1,9355,1,1,,,,Signal,
88366,64454,,43890,1,1,9356,1,1,,,,Signal,
88367,64455,,9355,1,1,9359,1,1,,,,   ,
88368,64455,,20774,1,1,9358,1,1,,,,   ,
88369,64459,,10164,1,1,9361,1,1,,,,   ,
88370,64459,,10164,1,1,9362,1,2,,,,   ,
88371,64459,,36553,2,2,9360,1,1,,,,   ,
88372,64459,,36553,1,2,9362,1,2,,,,   ,
88373,64459,,43809,1,1,9360,1,1,,,,   ,
88374,64459,,43809,1,1,9361,1,1,,,,   ,
88375,64463,,10165,1,1,9364,1,2,,,,   ,
88376,64463,,10165,1,1,9365,1,1,,,,   ,
88377,64463,,43417,1,1,9363,1,1,,,,   ,
88378,64463,,43417,1,1,9365,1,1,,,,   ,
88379,64463,,43445,1,1,9363,1,1,,,,   ,
88380,64463,,43445,1,2,9364,1,2,,,,   ,
88381,64466,,36476,1,1,9367,1,1,,,,Signal,
88382,64466,,36476,1,1,9368,1,2,,,,Signal,
88383,64466,,36557,2,2,9366,1,1,,,,Signal,
88384,64466,,36557,1,2,9368,1,2,,,,Signal,
88385,64466,,43762,1,1,9366,1,1,,,,Signal,
88386,64466,,43762,1,1,9367,1,1,,,,Signal,
88387,64470,,9372,1,1,9370,1,2,,,,Signal,
88388,64470,,9372,1,1,9371,1,1,,,,Signal,
88389,64470,,44021,1,1,9369,1,1,,,,Signal,
88390,64470,,44021,1,1,9371,1,1,,,,Signal,
88391,64470,,44061,2,2,9369,1,1,,,,Signal,
88392,64470,,44061,1,2,9370,1,2,,,,Signal,
88393,10000015,,9369,1,1,9373,1,1,,,,   ,
88394,10000016,,9377,1,1,9372,1,1,,,,   ,
88395,64475,,10101,1,1,9375,1,2,,,,Signal,
88396,64475,,10101,1,1,9376,1,2,,,,Signal,
88397,64475,,43791,1,1,9374,1,1,,,,Signal,
88398,64475,,43791,1,2,9376,1,2,,,,Signal,
88399,64475,,43974,2,2,9374,1,1,,,,Signal,
88400,64475,,43974,1,2,9375,1,2,,,,Signal,
88401,64474,,9373,1,1,9378,1,1,,,,   ,
88402,64474,,9373,1,1,9379,1,2,,,,   ,
88403,64474,,9373,1,1,9380,1,2,,,,   ,
88404,64474,,40186,1,1,9377,1,1,,,,   ,
88405,64474,,40186,1,1,9379,1,2,,,,   ,
88406,64474,,40186,1,1,9380,1,2,,,,   ,
88407,64474,,43744,1,1,9377,1,1,,,,   ,
88408,64474,,43744,2,2,9378,1,1,,,,   ,
88409,64474,,43744,1,2,9380,1,2,,,,   ,
88410,64474,,44022,2,2,9377,1,1,,,,   ,
88411,64474,,44022,1,1,9378,1,1,,,,   ,
88412,64474,,44022,1,2,9379,1,2,,,,   ,
88413,64481,,10171,1,1,9382,1,2,,,,   ,
88414,64481,,10171,1,1,9383,1,2,,,,   ,
88415,64481,,43169,2,2,9381,1,1,,,,   ,
88416,64481,,43169,1,2,9383,1,2,,,,   ,
88417,64481,,43446,1,1,9381,1,1,,,,   ,
88418,64481,,43446,1,2,9382,1,2,,,,   ,
88419,64484,,15883,1,1,9385,1,1,,,,Signal,
88420,64484,,15883,1,1,9386,1,1,,,,Signal,
88421,64484,,15889,1,1,9384,1,1,,,,Signal,
88422,64484,,15889,1,1,9386,1,1,,,,Signal,
88423,64484,,43467,1,1,9384,1,1,,,,Signal,
88424,64484,,43467,1,1,9385,1,1,,,,Signal,
88425,64488,,15877,1,1,9388,1,1,,,,   ,
88427,64488,,15897,1,1,9387,1,1,,,,   ,
88431,64492,,15878,1,1,9391,1,1,,,,   ,
88432,64492,,15878,1,1,9392,1,2,,,,   ,
88433,64492,,37782,2,2,9390,1,1,,,,   ,
88434,64492,,37782,1,2,9392,1,2,,,,   ,
88435,64492,,43478,1,1,9390,1,1,,,,   ,
88436,64492,,43478,1,1,9391,1,1,,,,   ,
88445,64502,,9401,1,1,9399,1,1,,,,   ,
88446,64502,,9401,1,1,9400,1,1,,,,   ,
88447,64502,,36506,1,1,9398,1,1,,,,   ,
88448,64502,,36506,1,1,9400,1,1,,,,   ,
88449,64502,,36569,1,1,9398,1,1,,,,   ,
88450,64502,,36569,1,1,9399,1,1,,,,   ,
88451,64503,,9398,1,1,9402,1,1,,,,   ,
88452,64503,,36496,1,1,9401,1,1,,,,   ,
88453,64507,,40221,1,1,9404,1,1,,,,   ,
88454,64507,,40221,1,2,9405,1,2,,,,   ,
88455,64507,,43726,1,1,9403,1,3,,,,   ,
88456,64507,,43726,1,1,9405,1,2,,,,   ,
88457,64507,,43918,1,3,9403,1,3,,,,   ,
88458,64507,,43918,3,3,9404,1,1,,,,   ,
88459,10000019,,43472,1,1,9407,1,1,,,,   ,
88460,10000020,,43641,1,1,9406,1,1,,,,   ,
88465,64514,,43270,2,2,9410,1,1,,,,Signal,
88466,64514,,43270,1,2,9411,1,2,,,,Signal,
88468,64514,,43473,1,1,9409,1,2,,,,Signal,
88469,64514,,43473,1,1,9411,1,2,,,,Signal,
88471,64514,,43547,1,2,9409,1,2,,,,Signal,
88472,64514,,43547,1,1,9410,1,1,,,,Signal,
88473,64518,,43244,2,2,9413,1,1,,,,   ,
88474,64518,,43244,1,2,9414,1,2,,,,   ,
88475,64518,,43244,1,1,9415,1,1,,,,   ,
88476,64518,,43368,1,1,9412,1,2,,,,   ,
88477,64518,,43368,1,1,9414,1,2,,,,   ,
88478,64518,,43368,1,1,9415,1,1,,,,   ,
88479,64518,,43586,1,2,9412,1,2,,,,   ,
88480,64518,,43586,1,1,9413,1,1,,,,   ,
88481,64518,,43586,2,2,9415,1,1,,,,   ,
88482,64518,,43642,1,1,9412,1,2,,,,   ,
88483,64518,,43642,1,1,9413,1,1,,,,   ,
88484,64518,,43642,1,1,9414,1,2,,,,   ,
88485,64522,,9422,1,1,9417,1,1,,,,Signal,
88486,64522,,9422,1,1,9418,1,2,,,,Signal,
88487,64522,,40229,1,1,9416,1,1,,,,Signal,
88488,64522,,40229,1,1,9418,1,2,,,,Signal,
88489,64522,,43196,2,2,9416,1,1,,,,Signal,
88490,64522,,43196,1,2,9417,1,1,,,,Signal,
88491,64526,,24874,1,1,9420,1,2,,,,   ,
88492,64526,,24874,1,1,9421,1,2,,,,   ,
88493,64526,,42894,1,1,9419,1,1,,,,   ,
88494,64526,,42894,1,2,9421,1,2,,,,   ,
88495,64526,,43078,2,2,9419,1,1,,,,   ,
88496,64526,,43078,1,2,9420,1,2,,,,   ,
88497,64523,,9416,1,1,9423,1,1,,,,   ,
88498,64523,,24875,1,1,9422,1,1,,,,   ,
88499,64530,,10156,1,1,9425,1,2,,,,   ,
88500,64530,,10156,1,1,9426,1,1,,,,   ,
88501,64530,,37784,1,1,9424,1,1,,,,   ,
88502,64530,,37784,1,1,9426,1,1,,,,   ,
88503,64530,,43558,1,1,9424,1,1,,,,   ,
88504,64530,,43558,1,2,9425,1,2,,,,   ,
88505,64534,,9430,1,1,9428,1,1,,,,   ,
88506,64534,,9430,1,1,9429,1,1,,,,   ,
88507,64534,,10157,1,1,9427,1,2,,,,   ,
88508,64534,,10157,1,1,9429,1,1,,,,   ,
88509,64534,,43983,1,2,9427,1,2,,,,   ,
88510,64534,,43983,2,2,9428,1,1,,,,   ,
88511,64535,,9427,1,1,9431,1,1,,,,   ,
88512,64535,,9427,1,2,9432,1,2,,,,   ,
88513,64535,,10160,1,1,9430,1,1,,,,   ,
88514,64535,,10160,1,1,9432,1,2,,,,   ,
88515,64535,,43924,1,1,9430,1,1,,,,   ,
88516,64535,,43924,1,1,9431,1,1,,,,   ,
88537,64548,,10148,1,1,9445,1,2,,,,   ,
88538,64548,,10148,1,1,9446,1,1,,,,   ,
88539,64548,,44001,1,1,9444,1,1,,,,   ,
88540,64548,,44001,1,1,9446,1,1,,,,   ,
88541,64548,,44057,1,1,9444,1,1,,,,   ,
88542,64548,,44057,1,2,9445,1,2,,,,   ,
88627,64581,,10172,1,1,9488,1,2,,,,   ,
88628,64581,,10172,1,1,9489,1,2,,,,   ,
88629,64581,,43132,1,1,9487,1,1,,,,   ,
88630,64581,,43132,1,2,9489,1,2,,,,   ,
88631,64581,,43304,2,2,9487,1,1,,,,   ,
88632,64581,,43304,1,2,9488,1,2,,,,   ,
88693,64609,,9524,1,1,9519,1,2,,,,   ,
88694,64609,,9524,1,1,9520,1,1,,,,   ,
88695,64609,,40166,1,1,9518,1,1,,,,   ,
88696,64609,,40166,1,1,9520,1,1,,,,   ,
88697,64609,,42508,1,1,9518,1,1,,,,   ,
88698,64609,,42508,1,2,9519,1,2,,,,   ,
88705,64610,,9518,1,1,9525,1,1,,,,   ,
88706,64610,,42927,1,1,9524,1,1,,,,   ,
88707,64616,,42928,1,2,9527,1,2,,,,   ,
88708,64616,,43325,1,2,9526,1,2,,,,   ,
88709,64613,,9522,1,1,9529,1,1,,,,   ,
88710,64613,,9522,1,1,9530,1,1,,,,   ,
88711,64613,,9546,1,1,9528,1,1,,,,   ,
88712,64613,,9546,1,1,9530,1,1,,,,   ,
88713,64613,,42929,1,1,9528,1,1,,,,   ,
88714,64613,,42929,1,1,9529,1,1,,,,   ,
88747,64618,,9529,1,1,9547,1,2,,,,   ,
88748,64618,,9529,1,1,9548,1,2,,,,   ,
88749,64618,,42509,1,1,9546,1,1,,,,   ,
88750,64618,,42509,1,1,9548,1,2,,,,   ,
88751,64618,,42631,1,1,9546,1,1,,,,   ,
88752,64618,,42631,1,2,9547,1,2,,,,   ,
88977,64738,,41473,1,1,9677,1,1,,,,   ,
88978,64738,,41473,1,1,9678,1,1,,,,   ,
88979,64738,,41477,1,1,9676,1,1,,,,   ,
88980,64738,,41477,1,1,9678,1,1,,,,   ,
88981,64738,,41752,1,1,9676,1,1,,,,   ,
88982,64738,,41752,1,1,9677,1,1,,,,   ,
88983,64742,,36481,1,1,9680,1,2,,,,Signal,
88984,64742,,36481,1,1,9681,1,1,,,,Signal,
88985,64742,,42200,1,1,9679,1,1,,,,Signal,
88986,64742,,42200,1,1,9681,1,1,,,,Signal,
88987,64742,,42232,1,1,9679,1,1,,,,Signal,
88988,64742,,42232,1,2,9680,1,2,,,,Signal,
88989,64746,,36479,1,1,9683,1,2,,,,Signal,
88990,64746,,36479,1,1,9684,1,2,,,,Signal,
88991,64746,,42624,2,2,9682,1,1,,,,Signal,
88992,64746,,42624,1,2,9684,1,2,,,,Signal,
88993,64746,,42990,1,1,9682,1,1,,,,Signal,
88994,64746,,42990,1,2,9683,1,2,,,,Signal,
88995,64750,,36480,1,1,9686,1,1,,,,   ,
88996,64750,,36482,1,1,9685,1,1,,,,   ,
88997,64751,,10209,1,1,9688,1,1,,,,   ,
88998,64751,,10209,1,1,9689,1,1,,,,   ,
88999,64751,,34914,1,1,9687,1,1,,,,   ,
89000,64751,,34914,1,1,9689,1,1,,,,   ,
89001,64751,,35090,1,1,9687,1,1,,,,   ,
89002,64751,,35090,1,1,9688,1,1,,,,   ,
89003,64755,,9693,2,2,9691,1,1,,,,   ,
89004,64755,,9693,1,2,9692,1,2,,,,   ,
89005,64755,,10219,1,1,9690,1,1,,,,   ,
89006,64755,,10219,1,1,9692,1,2,,,,   ,
89007,64755,,35661,1,1,9690,1,1,,,,   ,
89008,64755,,35661,1,1,9691,1,1,,,,   ,
89009,64756,,9690,1,1,9694,1,1,,,,Signal,
89010,64756,,9690,1,1,9695,1,1,,,,Signal,
89011,64756,,9702,1,1,9693,1,2,,,,Signal,
89012,64756,,9702,1,1,9695,1,1,,,,Signal,
89013,64756,,35450,1,2,9693,1,2,,,,Signal,
89014,64756,,35450,1,1,9694,1,1,,,,Signal,
89027,64759,,9694,1,1,9703,1,1,,,,Signal,
89028,64759,,9694,1,1,9704,1,2,,,,Signal,
89029,64759,,9694,1,1,9705,1,1,,,,Signal,
89030,64759,,9706,1,1,9702,1,1,,,,Signal,
89031,64759,,9706,1,1,9704,1,2,,,,Signal,
89032,64759,,9706,1,1,9705,1,1,,,,Signal,
89033,64759,,35700,1,1,9702,1,1,,,,Signal,
89034,64759,,35700,1,1,9703,1,1,,,,Signal,
89035,64759,,35700,1,1,9705,1,1,,,,Signal,
89036,64759,,35733,2,2,9702,1,1,,,,Signal,
89037,64759,,35733,1,1,9703,1,1,,,,Signal,
89038,64759,,35733,1,2,9704,1,2,,,,Signal,
89039,64769,,9703,1,1,9707,1,1,,,,Signal,
89040,64769,,9703,1,1,9708,1,1,,,,Signal,
89041,64769,,35886,1,1,9706,1,1,,,,Signal,
89042,64769,,35886,1,1,9708,1,1,,,,Signal,
89043,64769,,35932,1,1,9706,1,1,,,,Signal,
89044,64769,,35932,1,1,9707,1,1,,,,Signal,
89638,65087,,10179,1,2,10100,1,2,,,,   ,
89641,65087,,36563,1,1,10098,1,1,,,,   ,
89644,64476,,9374,1,1,10103,1,1,,,,   ,
89647,64476,,40187,1,1,10101,1,1,,,,   ,
89655,65096,,43865,1,2,10108,1,2,,,,   ,
89656,65096,,44133,1,1,10107,1,1,,,,   ,
89669,10000025,,12650,1,2,10122,1,2,,,,   ,
89670,10000026,,40160,1,1,10121,1,1,,,,   ,
89713,64549,,9444,1,1,10149,1,1,,,,   ,
89714,64549,,9448,1,1,10148,1,1,,,,   ,
89719,65129,,37788,1,2,10155,1,2,,,,   ,
89720,65129,,43984,1,2,10154,1,2,,,,   ,
89721,64531,,9424,1,1,10157,1,1,,,,   ,
89722,64531,,9428,1,1,10156,1,1,,,,   ,
89723,65131,,43985,1,2,10159,1,2,,,,   ,
89724,65131,,44221,1,2,10158,1,2,,,,   ,
89725,64537,,9431,1,1,10161,1,1,,,,   ,
89726,64537,,9433,1,1,10160,1,1,,,,   ,
89727,65132,,43925,1,1,10163,1,1,,,,   ,
89728,65132,,44177,1,1,10162,1,1,,,,   ,
89729,10000011,,9360,1,1,10165,1,1,,,,   ,
89730,10000012,,9363,1,1,10164,1,1,,,,   ,
89731,65133,,20771,1,2,10167,1,2,,,,   ,
89732,65133,,43866,1,1,10166,1,1,,,,   ,
89736,65135,,40184,1,2,10170,1,2,,,,   ,
89738,65135,,43418,1,1,10169,1,1,,,,   ,
89739,64482,,9381,1,1,10172,1,1,,,,   ,
89740,64482,,9487,1,1,10171,1,1,,,,   ,
89741,65138,,43860,1,2,10174,1,2,,,,   ,
89742,65138,,44205,1,2,10173,1,2,,,,   ,
89743,10000031,,36500,1,2,10176,1,2,,,,   ,
89744,10000032,,44120,1,3,10175,1,3,,,,   ,
89745,65144,,40192,1,4,10178,1,3,,,,   ,
89746,65144,,43951,1,3,10177,1,4,,,,   ,
89747,65088,,10098,1,1,10180,1,1,,,,   ,
89748,65088,,43745,1,2,10179,1,2,,,,   ,
89749,65147,,36181,1,1,10182,1,1,,,,   ,
89750,65147,,41549,1,1,10181,1,1,,,,   ,
89751,65150,,41693,1,1,10184,1,1,,,,   ,
89752,65150,,42233,1,1,10183,1,1,,,,   ,
89753,65152,,41753,1,1,10186,1,1,,,,   ,
89754,65152,,42280,1,1,10185,1,1,,,,   ,
89755,65154,,41716,1,2,10188,1,2,,,,   ,
89756,65154,,42253,1,2,10187,1,2,,,,   ,
89757,65157,,41782,1,1,10190,1,1,,,,   ,
89758,65157,,42313,1,1,10189,1,1,,,,   ,
89759,65160,,41655,1,3,10192,1,3,,,,   ,
89760,65160,,42056,1,3,10191,1,3,,,,   ,
89777,64752,,9687,1,1,10210,1,1,,,,   ,
89778,64752,,10220,1,1,10209,1,1,,,,   ,
89783,65174,,41559,1,1,10216,1,1,,,,   ,
89784,65174,,41697,1,1,10215,1,1,,,,   ,
89787,64757,,9691,1,1,10220,1,1,,,,   ,
89788,64757,,10210,1,1,10219,1,1,,,,   ,
89795,65186,,10259,1,1,10228,1,2,,,,   ,
89796,65186,,10259,1,1,10229,1,1,,,,   ,
89797,65186,,10259,1,1,10230,1,2,,,,   ,
89798,65186,,27512,1,1,10227,1,1,,,,   ,
89799,65186,,27512,2,2,10229,1,1,,,,   ,
89800,65186,,27512,1,2,10230,1,2,,,,   ,
89801,65186,,33531,1,1,10227,1,1,,,,   ,
89802,65186,,33531,1,1,10228,1,2,,,,   ,
89803,65186,,33531,1,1,10230,1,2,,,,   ,
89804,65186,,33677,2,2,10227,1,1,,,,   ,
89805,65186,,33677,1,2,10228,1,2,,,,   ,
89806,65186,,33677,1,1,10229,1,1,,,,   ,
89807,65191,,10260,1,1,10232,1,2,,,,   ,
89808,65191,,10260,1,1,10233,1,1,,,,   ,
89809,65191,,10261,1,1,10231,1,1,,,,   ,
89810,65191,,10261,1,1,10233,1,1,,,,   ,
89811,65191,,33449,2,2,10231,1,1,,,,   ,
89812,65191,,33449,1,2,10232,1,2,,,,   ,
89813,65194,,10255,1,1,10235,1,2,,,,   ,
89814,65194,,10255,1,1,10236,1,2,,,,   ,
89815,65194,,27465,1,1,10234,1,1,,,,   ,
89816,65194,,27465,1,2,10236,1,2,,,,   ,
89817,65194,,27513,2,2,10234,1,1,,,,   ,
89818,65194,,27513,1,2,10235,1,2,,,,   ,
89846,65210,,33625,1,2,10251,1,2,,,,   ,
89848,65210,,33663,1,2,10250,1,2,,,,   ,
89858,65187,,10227,1,1,10260,1,1,,,,   ,
89859,65187,,10231,1,1,10259,1,1,,,,   ,
89860,65192,,10232,1,2,10262,1,2,,,,   ,
89861,65192,,33759,1,1,10261,1,1,,,,   ,
89862,65217,,10266,1,1,10264,1,1,,,,   ,
89863,65217,,10266,1,1,10265,1,1,,,,   ,
89864,65217,,33450,1,1,10263,1,1,,,,   ,
89865,65217,,33450,1,1,10265,1,1,,,,   ,
89866,65217,,33512,1,1,10263,1,1,,,,   ,
89867,65217,,33512,1,1,10264,1,1,,,,   ,
89868,65218,,10263,1,1,10267,1,1,,,,   ,
89869,65218,,33805,1,1,10266,1,1,,,,   ,
89870,65221,,27295,1,2,10269,1,2,,,,   ,
89871,65221,,33470,1,2,10268,1,2,,,,   ,
89872,10000033,,10279,1,1,10271,1,1,,,,   ,
89873,10000034,,27333,1,2,10270,1,2,,,,   ,
89882,65234,,27325,1,2,10278,1,2,,,,   ,
89883,65234,,33451,1,1,10277,1,1,,,,   ,
89884,65225,,10270,1,2,10280,1,2,,,,   ,
89885,65225,,33553,1,1,10279,1,1,,,,   ,
90521,65523,,33538,1,2,10615,1,2,,,,   ,
90523,65523,,33843,1,2,10614,1,2,,,,   ,
91961,77057,,33528,1,1,57708,1,1,,,,   ,
91964,77057,,33771,1,1,57707,1,1,,,,   ,
92115,77925,,36461,1,1,57781,1,1,,,,   ,
92118,77925,,36463,1,1,57780,1,1,,,,   ,
92141,77584,,35287,1,1,57791,1,1,,,,   ,
92143,77584,,39218,1,1,57790,1,1,,,,   ,
92415,68470,,15058,1,1,57886,1,3,,,,   ,
92416,68470,,15058,1,2,57887,1,2,,,,   ,
92417,68470,,15058,2,2,57888,1,3,,,,   ,
92418,68470,,22425,3,3,57885,1,2,,,,   ,
92419,68470,,22425,1,1,57887,1,2,,,,   ,
92420,68470,,22425,1,3,57888,1,3,,,,   ,
92421,68470,,35496,1,2,57885,1,2,,,,   ,
92422,68470,,35496,2,2,57886,1,3,,,,   ,
92423,68470,,35496,1,1,57888,1,3,,,,   ,
92424,68470,,35534,1,1,57885,1,2,,,,   ,
92425,68470,,35534,1,3,57886,1,3,,,,   ,
92426,68470,,35534,3,3,57887,1,2,,,,   ,
92495,79831,,42620,1,2,57936,1,2,,,,   ,
92497,79831,,43303,1,2,57935,1,2,,,,   ,
92511,10000037,,22262,1,1,11217,1,1,,,,   ,
92512,10000038,,27386,1,2,11216,1,2,,,,   ,
92529,66070,,34047,1,1,11219,1,1,,,,   ,
92530,66070,,34110,1,1,11218,1,1,,,,   ,
