centroid_new_id,x_coord,y_coord
2211,325780.0612,5817374.063
2212,326799.0612,5816854.063
2213,319768.0612,5813652.063
2214,325330.4688,5816694.277
2215,324364.0612,5816376.063
2216,320248.0612,5813568.063
2217,321438.0612,5813287.063
2218,320738.0612,5813489.063
2219,319705.9049,5813135.114
2220,321835.0612,5813245.063
2221,322687.0612,5813026.063
2222,318693.7368,5813055.581
2223,319766.0612,5812412.063
2224,318563.0612,5812231.063
2225,322270.0612,5812010.063
2226,322618.0612,5812340.063
2227,320669.0612,5813180.063
2228,320365.0612,5812089.063
2229,322050.0612,5811464.063
2230,316591.0612,5811571.063
2231,325621.0612,5812731.063
2232,326179.0612,5811840.063
2233,317542.0612,5811701.063
2234,326481.0612,5810954.063
2235,326236.0612,5815012.063
2236,320933.0612,5812136.063
2237,325616.0612,5814026.063
2238,326234.0612,5813185.063
2239,319103.0612,5811832.063
2240,320090.0612,5811564.063
2241,320952.0612,5811654.063
2242,321288.0612,5811711.063
2243,321298.0612,5811423.063
2244,320551.0612,5812910.063
2245,320883.0612,5811349.063
2246,321267.0612,5811122.063
2247,316342.5244,5810191.854
2248,322496.0612,5810481.063
2249,322469.0612,5808990.063
2250,320992.0612,5813077.063
2251,318168.0612,5811165.063
2252,319729.0612,5810980.063
2253,320347.0299,5810913.954
2254,316713.4744,5810443.103
2255,320847.0612,5810357.063
2256,321294.0612,5813138.063
2257,318640.0612,5810587.063
2258,319160.0612,5810056.063
2259,326541.0612,5810083.063
2260,321041.9982,5809915.565
2261,319832.0612,5810230.063
2262,321831.0612,5810129.063
2263,319398.0612,5809442.063
2264,323033.0612,5809971.063
2265,324611.0612,5810764.063
2266,324118.0612,5809807.063
2267,321267.0612,5812973.063
2268,323370.0612,5809488.063
2269,324796.0612,5809521.063
2270,322511.0612,5816888.063
2271,321065.8828,5816673.84
2272,326460.8319,5816552.098
2273,322117.0612,5816290.435
2274,322740.0612,5815788.063
2275,314667.7315,5807918.687
2276,315063.4185,5808152.757
2277,327714.4509,5815566.123
2278,317134.6734,5818066.837
2279,317382.7419,5818003.562
2280,327749.1534,5808666.437
2281,327769.9129,5810768.86
2282,327825.9026,5811264.889
2283,327057.1334,5808215.942
2284,326633.6141,5808270.409
2285,326166.469,5808291.454
2286,325859.2931,5808137.008
2287,321639.9016,5808304.501
2288,320922.8777,5808263.365
2289,319344.5706,5818024.231
2290,321424.1388,5818143.966
2291,322098.8101,5818066.894
2292,320497.9289,5818141.142
2293,321975.6093,5808088.384
2294,322217.545,5808189.382
2295,327475.2577,5817479.808
2296,327767.0612,5815631.063
2297,322832.4667,5818015.915
2298,323775.0707,5818121.302
2299,318880.2044,5818285.925
2300,324883.3638,5818108.86
2301,318329.3205,5818321.532
2302,312667.7511,5817614.67
2303,325606.0791,5818146.39
2304,326225.084,5818074.432
2305,315504.6129,5817735.974
2306,317246.0153,5818025.122
2307,312441.9649,5816280.712
2308,312629.8337,5815994.738
2309,327572.3377,5814827.271
2310,327711.2603,5814093.55
2311,327662.4399,5814296.065
2312,327678.2444,5813662.552
2313,327691.2719,5813395.548
2314,312420.9304,5813059.277
2315,321183.8886,5808260.314
2316,312683.8903,5814589.573
2317,312500.2001,5815025.052
2318,312580.4302,5814172.399
2319,312462.2143,5816229.108
2320,327608.2337,5812883.275
2321,322603.1161,5808313.989
2322,312429.0171,5812958.098
2323,312353.2745,5812160.308
2324,327587.3108,5812000.355
2325,312612.9007,5811531.814
2326,312510.9977,5809678.473
2327,327567.6289,5809612.098
2328,323420.0373,5808296.824
2329,324217.5485,5808284.869
2330,315400.8015,5808252.111
2331,322498.8642,5808319.208
2332,327581.9395,5810035.982
2333,325028.0375,5808162.687
2334,322364.1852,5808226.116
2335,312575.4033,5810506.865
2336,312932.0689,5817629.536000001
2341,322479.25011901103,5812391.582774615
2342,322625.96169486595,5811897.965339901
2343,322089.4628589929,5812240.139649849
2344,322028.53204200504,5812261.402295203
2345,322417.2649517286,5812111.739862753
2346,319336.3953620228,5812578.019917993
2347,320140.1976058347,5813743.12293561
2348,321785.24825832795,5806940.190962315
